day,month,year,observation,observation_count
25,10,2019,"black,beret",7
11,9,2019,"blue,top hat",10
4,12,2018,"green,santa hat",9
18,6,2018,"white,beret",9
26,9,2018,"black,santa hat",1
13,12,2018,"red,santa hat",6
7,12,2019,"yellow,beret",5
26,5,2018,"black,beret",6
26,8,2018,"multicoloured,top hat",4
12,6,2018,"purple,beanie",10
19,5,2019,"yellow,helmet",4
17,4,2018,"pink,bucket hat",8
3,7,2018,"black,santa hat",9
6,9,2018,"pink,helmet",9
1,2,2018,"pink,sun hat",5
21,12,2019,"pink,santa hat",1
13,3,2019,"multicoloured,bowler hat",2
26,1,2019,"yellow,santa hat",1
24,8,2018,"white,bowler hat",2
5,7,2019,"multicoloured,helmet",8
13,6,2019,"green,top hat",6
16,8,2018,"multicoloured,helmet",4
5,3,2018,"blue,helmet",2
4,1,2018,"white,beret",6
13,5,2018,"blue,beanie",4
2,12,2018,"multicoloured,santa hat",9
15,2,2019,"white,bucket hat",9
17,3,2018,"multicoloured,santa hat",4
26,10,2018,"white,bucket hat",10
26,9,2019,"green,beret",2
20,2,2019,"white,beret",2
21,4,2019,"blue,bucket hat",2
20,4,2019,"black,sun hat",5
26,9,2018,"red,helmet",7
14,1,2018,"green,beret",1
21,9,2018,"pink,santa hat",3
14,8,2019,"blue,sun hat",2
3,11,2018,"green,top hat",6
26,7,2019,"yellow,bowler hat",6
24,1,2018,"yellow,sun hat",4
15,6,2019,"green,helmet",3
25,5,2019,"green,bucket hat",9
8,3,2018,"multicoloured,beanie",9
23,10,2018,"purple,bucket hat",7
15,2,2019,"purple,top hat",2
8,12,2019,"multicoloured,beret",7
10,8,2019,"purple,santa hat",6
6,6,2019,"green,fedora",1
16,11,2018,"red,beret",5
10,2,2019,"red,sun hat",4
1,3,2019,"yellow,top hat",10
2,3,2019,"white,bucket hat",8
18,11,2018,"blue,sun hat",6
11,6,2018,"pink,bowler hat",9
15,7,2018,"pink,helmet",1
13,11,2018,"pink,bucket hat",9
25,6,2018,"multicoloured,fedora",1
19,7,2018,"blue,bucket hat",5
21,6,2019,"pink,bucket hat",9
10,9,2018,"green,bucket hat",4
15,1,2018,"yellow,santa hat",8
8,3,2018,"green,santa hat",1
4,3,2019,"purple,top hat",3
10,6,2018,"white,beanie",7
6,5,2018,"blue,fedora",6
2,8,2019,"green,beanie",10
23,6,2019,"green,helmet",7
6,3,2018,"pink,bowler hat",1
26,12,2019,"black,bucket hat",8
23,10,2019,"purple,bowler hat",8
10,5,2019,"red,top hat",1
19,1,2018,"blue,bowler hat",1
12,11,2019,"purple,helmet",8
26,5,2018,"black,beanie",6
24,12,2019,"multicoloured,top hat",9
25,8,2019,"pink,fedora",3
3,9,2019,"black,sun hat",4
25,12,2018,"white,beanie",1
18,6,2018,"purple,beret",2
26,10,2018,"yellow,fedora",2
1,1,2018,"pink,beanie",8
20,1,2018,"green,fedora",5
9,9,2018,"white,fedora",10
23,10,2018,"blue,helmet",9
22,8,2018,"black,bucket hat",1
7,4,2019,"multicoloured,bucket hat",3
8,9,2018,"multicoloured,helmet",9
10,3,2018,"green,beanie",4
3,12,2018,"multicoloured,top hat",5
11,12,2018,"yellow,sun hat",4
24,12,2019,"black,top hat",9
25,3,2019,"multicoloured,fedora",6
2,3,2019,"white,santa hat",9
5,4,2018,"yellow,beanie",9
20,11,2018,"purple,helmet",5
15,8,2018,"purple,bucket hat",8
26,1,2018,"green,bowler hat",5
15,11,2018,"black,top hat",7
14,9,2019,"green,helmet",4
1,10,2018,"blue,fedora",4
